time=0.000000 en=8.93072249e+04 E_p=-2.99875343e+04 E_k=5.35965805e+03 E_x=2.22811043e-01 P=3.63773275e+02 V=9.00174306e+04
Corr_Energy     (0.000000)	          -1.19294759e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	5.35965805e+03	5.35965805e+03
Self_Energy     (0.000000)	-1.19246720e+05	-1.19246720e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.11837539e+02	1.11837539e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.43950278e+02	1.43950278e+02
far_exclusion   (0.000000)	1.17554402e+05	1.17554402e+05
far_terms       (0.000000)	4.20973387e+01	4.20973387e+01
nonbonded_elec  (0.000000)	-3.31582715e+04	-3.31582715e+04
nonbonded_vdw   (0.000000)	4.30871580e+03	4.30871580e+03
pair_elec       (0.000000)	1.64459397e+02	1.64459397e+02
pair_vdw        (0.000000)	8.18762296e+01	8.18762296e+01
stretch         (0.000000)	5.81586363e+01	5.81586363e+01
Total           (0.000000)	8.93072257e+04	8.93072257e+04
time=0.000500 en=8.93142157e+04 E_p=-2.99805435e+04 E_k=5.35271397e+03 E_x=2.22811043e-01 P=3.65595975e+02 V=9.00174306e+04
Corr_Energy     (0.000500)	          -1.19294759e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	5.35271397e+03	5.35271397e+03
Self_Energy     (0.000500)	-1.19246720e+05	-1.19246720e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.13337695e+02	1.13337695e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.44084523e+02	1.44084523e+02
far_exclusion   (0.000500)	1.17554359e+05	1.17554359e+05
far_terms       (0.000500)	4.23005704e+01	4.23005704e+01
nonbonded_elec  (0.000500)	-3.31553163e+04	-3.31553163e+04
nonbonded_vdw   (0.000500)	4.30965612e+03	4.30965612e+03
pair_elec       (0.000500)	1.64898286e+02	1.64898286e+02
pair_vdw        (0.000500)	8.18140426e+01	8.18140426e+01
stretch         (0.000500)	5.90809832e+01	5.90809832e+01
Total           (0.000500)	8.93142152e+04	8.93142152e+04
