time=0.000000 en=8.84097827e+04 E_p=-2.96729709e+04 E_k=5.30379931e+03 E_x=8.61869544e-01 P=-2.03360815e+02 V=9.00728639e+04
Corr_Energy     (0.000000)	          -1.18082754e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	5.30379931e+03	5.30379931e+03
Self_Energy     (0.000000)	-1.18035821e+05	-1.18035821e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	9.54870975e+01	9.54870975e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.30010066e+02	1.30010066e+02
far_exclusion   (0.000000)	1.16358168e+05	1.16358168e+05
far_terms       (0.000000)	4.52017429e+01	4.52017429e+01
nonbonded_elec  (0.000000)	-3.26616288e+04	-3.26616288e+04
nonbonded_vdw   (0.000000)	4.17034568e+03	4.17034568e+03
pair_elec       (0.000000)	1.40598432e+02	1.40598432e+02
pair_vdw        (0.000000)	7.62854939e+01	7.62854939e+01
stretch         (0.000000)	5.53155596e+01	5.53155596e+01
Total           (0.000000)	8.84097828e+04	8.84097828e+04
time=0.000500 en=8.84198092e+04 E_p=-2.96629444e+04 E_k=5.29384966e+03 E_x=8.61869544e-01 P=-2.29441020e+02 V=9.00728639e+04
Corr_Energy     (0.000500)	          -1.18082754e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	5.29384966e+03	5.29384966e+03
Self_Energy     (0.000500)	-1.18035821e+05	-1.18035821e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	9.53968689e+01	9.53968689e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.29803099e+02	1.29803099e+02
far_exclusion   (0.000500)	1.16358149e+05	1.16358149e+05
far_terms       (0.000500)	4.58722345e+01	4.58722345e+01
nonbonded_elec  (0.000500)	-3.26534623e+04	-3.26534623e+04
nonbonded_vdw   (0.000500)	4.16840096e+03	4.16840096e+03
pair_elec       (0.000500)	1.40729876e+02	1.40729876e+02
pair_vdw        (0.000500)	7.63120567e+01	7.63120567e+01
stretch         (0.000500)	5.86067170e+01	5.86067170e+01
Total           (0.000500)	8.84198085e+04	8.84198085e+04
