time=0.000000 en=3.39308764e+04 E_p=-1.07921781e+04 E_k=1.99794630e+03 E_x=2.12113609e+00 P=-3.02187252e+02 V=3.36680350e+04
Corr_Energy     (0.000000)	          -4.47230546e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	1.99794630e+03	1.99794630e+03
Self_Energy     (0.000000)	-4.47061741e+04	-4.47061741e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.18040838e+01	2.18040838e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.44461252e+01	1.44461252e+01
far_exclusion   (0.000000)	4.43453060e+04	4.43453060e+04
far_terms       (0.000000)	1.59742638e+01	1.59742638e+01
nonbonded_elec  (0.000000)	-1.20431741e+04	-1.20431741e+04
nonbonded_vdw   (0.000000)	1.58215351e+03	1.58215351e+03
pair_elec       (0.000000)	-1.18183882e+01	-1.18183882e+01
pair_vdw        (0.000000)	2.42419655e+00	2.42419655e+00
stretch         (0.000000)	3.76057680e+00	3.76057680e+00
Total           (0.000000)	3.39308763e+04	3.39308763e+04
time=0.000500 en=3.39292310e+04 E_p=-1.07938235e+04 E_k=1.99958766e+03 E_x=2.12113609e+00 P=-3.33699999e+02 V=3.36680350e+04
Corr_Energy     (0.000500)	          -4.47230546e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	1.99958766e+03	1.99958766e+03
Self_Energy     (0.000500)	-4.47061741e+04	-4.47061741e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.24922224e+01	2.24922224e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.44897222e+01	1.44897222e+01
far_exclusion   (0.000500)	4.43452973e+04	4.43452973e+04
far_terms       (0.000500)	1.60108094e+01	1.60108094e+01
nonbonded_elec  (0.000500)	-1.20449039e+04	-1.20449039e+04
nonbonded_vdw   (0.000500)	1.58112412e+03	1.58112412e+03
pair_elec       (0.000500)	-1.18335006e+01	-1.18335006e+01
pair_vdw        (0.000500)	2.54606766e+00	2.54606766e+00
stretch         (0.000500)	4.00801043e+00	4.00801043e+00
Total           (0.000500)	3.39292309e+04	3.39292309e+04
