time=0.000000 en=7.98774695e+04 E_p=-2.68507318e+04 E_k=4.85102244e+03 E_x=1.45562766e+00 P=2.35130378e+02 V=8.11103575e+04
Corr_Energy     (0.000000)	          -1.06728201e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	4.85102244e+03	4.85102244e+03
Self_Energy     (0.000000)	-1.06685430e+05	-1.06685430e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	9.88691036e+01	9.88691036e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.39000772e+02	1.39000772e+02
far_exclusion   (0.000000)	1.05199152e+05	1.05199152e+05
far_terms       (0.000000)	3.73489021e+01	3.73489021e+01
nonbonded_elec  (0.000000)	-2.96307410e+04	-2.96307410e+04
nonbonded_vdw   (0.000000)	3.83604600e+03	3.83604600e+03
pair_elec       (0.000000)	6.78947943e+01	6.78947943e+01
pair_vdw        (0.000000)	7.98387174e+01	7.98387174e+01
stretch         (0.000000)	5.00608290e+01	5.00608290e+01
Total           (0.000000)	7.98774700e+04	7.98774700e+04
time=0.000500 en=7.98781784e+04 E_p=-2.68500229e+04 E_k=4.85034993e+03 E_x=1.45562766e+00 P=2.23842025e+02 V=8.11103575e+04
Corr_Energy     (0.000500)	          -1.06728201e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	4.85034993e+03	4.85034993e+03
Self_Energy     (0.000500)	-1.06685430e+05	-1.06685430e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	9.78325527e+01	9.78325527e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.38708838e+02	1.38708838e+02
far_exclusion   (0.000500)	1.05199161e+05	1.05199161e+05
far_terms       (0.000500)	3.72390392e+01	3.72390392e+01
nonbonded_elec  (0.000500)	-2.96307593e+04	-2.96307593e+04
nonbonded_vdw   (0.000500)	3.83577374e+03	3.83577374e+03
pair_elec       (0.000500)	6.79011774e+01	6.79011774e+01
pair_vdw        (0.000500)	7.97576339e+01	7.97576339e+01
stretch         (0.000500)	5.25636477e+01	5.25636477e+01
Total           (0.000500)	7.98781783e+04	7.98781783e+04
