time=0.000000 en=3.34806594e+04 E_p=-1.07216105e+04 E_k=1.95058318e+03 E_x=1.99223562e+00 P=-9.59198390e+01 V=3.32729976e+04
Corr_Energy     (0.000000)	          -4.42022699e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	1.95058318e+03	1.95058318e+03
Self_Energy     (0.000000)	-4.41856363e+04	-4.41856363e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	9.80954523e+00	9.80954523e+00
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	7.20264520e+00	7.20264520e+00
far_exclusion   (0.000000)	4.38180486e+04	4.38180486e+04
far_terms       (0.000000)	1.36487458e+01	1.36487458e+01
nonbonded_elec  (0.000000)	-1.19820189e+04	-1.19820189e+04
nonbonded_vdw   (0.000000)	1.59955438e+03	1.59955438e+03
pair_elec       (0.000000)	1.08022480e+01	1.08022480e+01
pair_vdw        (0.000000)	1.70964592e+00	1.70964592e+00
stretch         (0.000000)	1.90255527e+00	1.90255527e+00
Total           (0.000000)	3.34806595e+04	3.34806595e+04
time=0.000500 en=3.34817167e+04 E_p=-1.07205532e+04 E_k=1.94954056e+03 E_x=1.99223562e+00 P=-9.47082785e+01 V=3.32729976e+04
Corr_Energy     (0.000500)	          -4.42022699e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	1.94954056e+03	1.94954056e+03
Self_Energy     (0.000500)	-4.41856363e+04	-4.41856363e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	9.43035741e+00	9.43035741e+00
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	7.14347795e+00	7.14347795e+00
far_exclusion   (0.000500)	4.38180512e+04	4.38180512e+04
far_terms       (0.000500)	1.35612797e+01	1.35612797e+01
nonbonded_elec  (0.000500)	-1.19803651e+04	-1.19803651e+04
nonbonded_vdw   (0.000500)	1.59932957e+03	1.59932957e+03
pair_elec       (0.000500)	1.08045943e+01	1.08045943e+01
pair_vdw        (0.000500)	1.69322694e+00	1.69322694e+00
stretch         (0.000500)	2.06843961e+00	2.06843961e+00
Total           (0.000500)	3.34817170e+04	3.34817170e+04
