time=0.000000 en=3.15161912e+04 E_p=-9.94735819e+03 E_k=1.82491432e+03 E_x=2.05632207e+00 P=4.41996039e+01 V=3.15675038e+04
Corr_Energy     (0.000000)	          -4.14635494e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	1.82491432e+03	1.82491432e+03
Self_Energy     (0.000000)	-4.14481102e+04	-4.14481102e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.01975999e+01	1.01975999e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	8.50812463e+00	8.50812463e+00
far_exclusion   (0.000000)	4.11016090e+04	4.11016090e+04
far_terms       (0.000000)	1.49283898e+01	1.49283898e+01
nonbonded_elec  (0.000000)	-1.11234664e+04	-1.11234664e+04
nonbonded_vdw   (0.000000)	1.49897686e+03	1.49897686e+03
pair_elec       (0.000000)	1.34170381e+00	1.34170381e+00
pair_vdw        (0.000000)	9.84214852e-01	9.84214852e-01
stretch         (0.000000)	3.11207130e+00	3.11207130e+00
Total           (0.000000)	3.15161915e+04	3.15161915e+04
time=0.000500 en=3.15152445e+04 E_p=-9.94830486e+03 E_k=1.82587753e+03 E_x=2.05632207e+00 P=6.15247604e+01 V=3.15675038e+04
Corr_Energy     (0.000500)	          -4.14635494e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	1.82587753e+03	1.82587753e+03
Self_Energy     (0.000500)	-4.14481102e+04	-4.14481102e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.03350730e+01	1.03350730e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	8.45040914e+00	8.45040914e+00
far_exclusion   (0.000500)	4.11016130e+04	4.11016130e+04
far_terms       (0.000500)	1.49485849e+01	1.49485849e+01
nonbonded_elec  (0.000500)	-1.11245256e+04	-1.11245256e+04
nonbonded_vdw   (0.000500)	1.49877678e+03	1.49877678e+03
pair_elec       (0.000500)	1.37003643e+00	1.37003643e+00
pair_vdw        (0.000500)	9.74724934e-01	9.74724934e-01
stretch         (0.000500)	3.30129354e+00	3.30129354e+00
Total           (0.000500)	3.15152444e+04	3.15152444e+04
