time=0.000000 en=8.84846341e+04 E_p=-2.95587732e+04 E_k=5.33620813e+03 E_x=8.38052184e-01 P=-1.04151509e+02 V=8.92828916e+04
Corr_Energy     (0.000000)	          -1.18043407e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	5.33620813e+03	5.33620813e+03
Self_Energy     (0.000000)	-1.17996037e+05	-1.17996037e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.38918609e+02	1.38918609e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.39185460e+02	1.39185460e+02
far_exclusion   (0.000000)	1.16337935e+05	1.16337935e+05
far_terms       (0.000000)	4.61084021e+01	4.61084021e+01
nonbonded_elec  (0.000000)	-3.25462293e+04	-3.25462293e+04
nonbonded_vdw   (0.000000)	4.13426253e+03	4.13426253e+03
pair_elec       (0.000000)	1.04169200e+02	1.04169200e+02
pair_vdw        (0.000000)	7.73319330e+01	7.73319330e+01
stretch         (0.000000)	5.29518196e+01	5.29518196e+01
Total           (0.000000)	8.84846338e+04	8.84846338e+04
time=0.000500 en=8.84884304e+04 E_p=-2.95549769e+04 E_k=5.33242219e+03 E_x=8.38052184e-01 P=-1.24191770e+02 V=8.92828916e+04
Corr_Energy     (0.000500)	          -1.18043407e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	5.33242219e+03	5.33242219e+03
Self_Energy     (0.000500)	-1.17996037e+05	-1.17996037e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.39760988e+02	1.39760988e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.39140456e+02	1.39140456e+02
far_exclusion   (0.000500)	1.16337888e+05	1.16337888e+05
far_terms       (0.000500)	4.64606007e+01	4.64606007e+01
nonbonded_elec  (0.000500)	-3.25454631e+04	-3.25454631e+04
nonbonded_vdw   (0.000500)	4.13355387e+03	4.13355387e+03
pair_elec       (0.000500)	1.04475765e+02	1.04475765e+02
pair_vdw        (0.000500)	7.71207445e+01	7.71207445e+01
stretch         (0.000500)	5.54934585e+01	5.54934585e+01
Total           (0.000500)	8.84884303e+04	8.84884303e+04
