time=0.000000 en=8.92693393e+04 E_p=-2.99018502e+04 E_k=5.38991706e+03 E_x=2.45401140e-01 P=1.50799306e+02 V=9.02049596e+04
Corr_Energy     (0.000000)	          -1.19171190e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	5.38991706e+03	5.38991706e+03
Self_Energy     (0.000000)	-1.19123472e+05	-1.19123472e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.15252990e+02	1.15252990e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.35680253e+02	1.35680253e+02
far_exclusion   (0.000000)	1.17451041e+05	1.17451041e+05
far_terms       (0.000000)	4.22205488e+01	4.22205488e+01
nonbonded_elec  (0.000000)	-3.29559281e+04	-3.29559281e+04
nonbonded_vdw   (0.000000)	4.24512073e+03	4.24512073e+03
pair_elec       (0.000000)	1.09442622e+02	1.09442622e+02
pair_vdw        (0.000000)	7.95418211e+01	7.95418211e+01
stretch         (0.000000)	4.69679118e+01	4.69679118e+01
Total           (0.000000)	8.92693394e+04	8.92693394e+04
time=0.000500 en=8.92752614e+04 E_p=-2.98959282e+04 E_k=5.38404007e+03 E_x=2.45401140e-01 P=1.49528232e+02 V=9.02049596e+04
Corr_Energy     (0.000500)	          -1.19171190e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	5.38404007e+03	5.38404007e+03
Self_Energy     (0.000500)	-1.19123472e+05	-1.19123472e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.14149224e+02	1.14149224e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.35750985e+02	1.35750985e+02
far_exclusion   (0.000500)	1.17450983e+05	1.17450983e+05
far_terms       (0.000500)	4.25272747e+01	4.25272747e+01
nonbonded_elec  (0.000500)	-3.29523669e+04	-3.29523669e+04
nonbonded_vdw   (0.000500)	4.24606114e+03	4.24606114e+03
pair_elec       (0.000500)	1.09729066e+02	1.09729066e+02
pair_vdw        (0.000500)	7.92666143e+01	7.92666143e+01
stretch         (0.000500)	4.91619340e+01	4.91619340e+01
Total           (0.000500)	8.92752622e+04	8.92752622e+04
