time=0.000000 en=3.88553597e+04 E_p=-1.22749697e+04 E_k=2.27134053e+03 E_x=1.74979568e+00 P=-2.76855602e+02 V=3.88676327e+04
Corr_Energy     (0.000000)	          -5.11303294e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	2.27134053e+03	2.27134053e+03
Self_Energy     (0.000000)	-5.11111640e+04	-5.11111640e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.20647851e+01	1.20647851e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.24492242e+01	1.24492242e+01
far_exclusion   (0.000000)	5.06827419e+04	5.06827419e+04
far_terms       (0.000000)	2.05753918e+01	2.05753918e+01
nonbonded_elec  (0.000000)	-1.37351975e+04	-1.37351975e+04
nonbonded_vdw   (0.000000)	1.80237229e+03	1.80237229e+03
pair_elec       (0.000000)	4.88357032e+01	4.88357032e+01
pair_vdw        (0.000000)	5.26933796e+00	5.26933796e+00
stretch         (0.000000)	6.24794591e+00	6.24794591e+00
Total           (0.000000)	3.88553591e+04	3.88553591e+04
time=0.000500 en=3.88585468e+04 E_p=-1.22717826e+04 E_k=2.26816383e+03 E_x=1.74979568e+00 P=-2.52747646e+02 V=3.88676327e+04
Corr_Energy     (0.000500)	          -5.11303294e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	2.26816383e+03	2.26816383e+03
Self_Energy     (0.000500)	-5.11111640e+04	-5.11111640e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.19858367e+01	1.19858367e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.23284389e+01	1.23284389e+01
far_exclusion   (0.000500)	5.06827249e+04	5.06827249e+04
far_terms       (0.000500)	2.02741437e+01	2.02741437e+01
nonbonded_elec  (0.000500)	-1.37347553e+04	-1.37347553e+04
nonbonded_vdw   (0.000500)	1.80487748e+03	1.80487748e+03
pair_elec       (0.000500)	4.89146866e+01	4.89146866e+01
pair_vdw        (0.000500)	5.31362176e+00	5.31362176e+00
stretch         (0.000500)	6.88245134e+00	6.88245134e+00
Total           (0.000500)	3.88585463e+04	3.88585463e+04
