time=0.000000 en=8.89003140e+04 E_p=-2.99105411e+04 E_k=5.36417947e+03 E_x=7.53270480e-01 P=2.16400052e+02 V=9.03564981e+04
Corr_Energy     (0.000000)	          -1.18810855e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	5.36417947e+03	5.36417947e+03
Self_Energy     (0.000000)	-1.18763335e+05	-1.18763335e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.07888665e+02	1.07888665e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.45863981e+02	1.45863981e+02
far_exclusion   (0.000000)	1.17101113e+05	1.17101113e+05
far_terms       (0.000000)	5.22211113e+01	5.22211113e+01
nonbonded_elec  (0.000000)	-3.30284065e+04	-3.30284065e+04
nonbonded_vdw   (0.000000)	4.29410571e+03	4.29410571e+03
pair_elec       (0.000000)	1.00810480e+02	1.00810480e+02
pair_vdw        (0.000000)	8.12231449e+01	8.12231449e+01
stretch         (0.000000)	4.54946262e+01	4.54946262e+01
Total           (0.000000)	8.89003139e+04	8.89003139e+04
time=0.000500 en=8.89032547e+04 E_p=-2.99076004e+04 E_k=5.36129111e+03 E_x=7.53270480e-01 P=1.96567229e+02 V=9.03564981e+04
Corr_Energy     (0.000500)	          -1.18810855e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	5.36129111e+03	5.36129111e+03
Self_Energy     (0.000500)	-1.18763335e+05	-1.18763335e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.08667873e+02	1.08667873e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.45474959e+02	1.45474959e+02
far_exclusion   (0.000500)	1.17101090e+05	1.17101090e+05
far_terms       (0.000500)	5.23912219e+01	5.23912219e+01
nonbonded_elec  (0.000500)	-3.30272595e+04	-3.30272595e+04
nonbonded_vdw   (0.000500)	4.29352160e+03	4.29352160e+03
pair_elec       (0.000500)	1.00933532e+02	1.00933532e+02
pair_vdw        (0.000500)	8.10911771e+01	8.10911771e+01
stretch         (0.000500)	4.73440572e+01	4.73440572e+01
Total           (0.000500)	8.89032545e+04	8.89032545e+04
