time=0.000000 en=3.25675383e+04 E_p=-1.04261574e+04 E_k=1.91818077e+03 E_x=2.10363441e+00 P=-6.82023137e+02 V=3.24034110e+04
Corr_Energy     (0.000000)	          -4.29936957e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	1.91818077e+03	1.91818077e+03
Self_Energy     (0.000000)	-4.29774873e+04	-4.29774873e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	9.00258947e+00	9.00258947e+00
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	3.61511970e+00	3.61511970e+00
far_exclusion   (0.000000)	4.26111634e+04	4.26111634e+04
far_terms       (0.000000)	1.53387909e+01	1.53387909e+01
nonbonded_elec  (0.000000)	-1.15954060e+04	-1.15954060e+04
nonbonded_vdw   (0.000000)	1.48820292e+03	1.48820292e+03
pair_elec       (0.000000)	2.95382345e+01	2.95382345e+01
pair_vdw        (0.000000)	3.21981717e+00	3.21981717e+00
stretch         (0.000000)	2.86350414e+00	2.86350414e+00
Total           (0.000000)	3.25675384e+04	3.25675384e+04
time=0.000500 en=3.25656538e+04 E_p=-1.04280419e+04 E_k=1.92004640e+03 E_x=2.10363441e+00 P=-6.98403539e+02 V=3.24034110e+04
Corr_Energy     (0.000500)	          -4.29936957e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	1.92004640e+03	1.92004640e+03
Self_Energy     (0.000500)	-4.29774873e+04	-4.29774873e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	8.92737513e+00	8.92737513e+00
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	3.52641701e+00	3.52641701e+00
far_exclusion   (0.000500)	4.26111659e+04	4.26111659e+04
far_terms       (0.000500)	1.53745470e+01	1.53745470e+01
nonbonded_elec  (0.000500)	-1.15960595e+04	-1.15960595e+04
nonbonded_vdw   (0.000500)	1.48670483e+03	1.48670483e+03
pair_elec       (0.000500)	2.95187258e+01	2.95187258e+01
pair_vdw        (0.000500)	3.20498586e+00	3.20498586e+00
stretch         (0.000500)	3.29063136e+00	3.29063136e+00
Total           (0.000500)	3.25656539e+04	3.25656539e+04
